Hs Code,国家全称,Region,Income Group,2024年世界进口额,可用年平均增长率（AAGR）,2024年向中国进口金额占总进口额比重,2024年人均GDP,2024年治理水平,2023 Average Tariff Raw（%）,置信度,市场规模-标准得分,市场成长性-标准得分,市场成熟度-标准得分,营商环境质量-标准得分,中国供应链匹配度-标准得分,关税友好度-标准得分,市场质量-标准得分,稳健发展型_base_score,稳健发展型_final_score,潜力增长型_base_score,潜力增长型_final_score,国货蓝海型_base_score,国货蓝海型_final_score
340600,Albania,Europe & Central Asia,Upper middle income,913.12,0.37,0.65,9442.0,55.25938775,6.0,1.0,29.9379,83.0907,49.8888,45.8984,65.3061,88.0,47.893600000000006,52.0154,52.0154,62.4924,62.4924,69.50389,69.50389
340600,Andorra,Europe & Central Asia,High income,357.61,0.18,0.0,48432.0,76.990553,50.0,3.0,16.3169,47.177,87.1463,81.715,0.0,0.0,84.43065,39.979342499999994,27.985539749999994,27.402549999999998,19.181784999999998,17.151305,14.4070962
340600,Angola,Sub-Saharan Africa,Lower middle income,982.61,-0.05,0.99,2371.0,40.8737194,10.0,2.0,31.0044,3.6873,18.4052,22.1885,100.0,80.0,20.29685,35.3241675,30.025542375,33.9709,28.875265,64.68321999999999,59.508562399999995
340600,Antigua and Barbuda,Latin America & Caribbean,High income,137.95,0.2,0.03,24438.0,65.9228614,20.0,2.0,2.5155,50.9582,71.5588,63.4736,2.0408,60.0,67.5162,38.708955,32.90261175,37.168395,31.593135749999995,33.36118,30.692285599999998
340600,Argentina,Latin America & Caribbean,Upper middle income,1208.9,0.18,0.96,13858.0,54.4269792,16.0,1.0,34.0186,47.177,58.632,44.5265,96.9388,68.0,51.57925,49.723887500000004,49.723887500000004,50.066545,50.066545,69.96491499999999,69.96491499999999
340600,Armenia,Europe & Central Asia,Upper middle income,659.26,0.27,0.06,8722.0,53.18181515,6.5,2.0,25.2022,64.1911,48.0814,42.4742,5.102,87.0,45.2778,44.39221,37.7333785,48.68519500000001,41.38241575000001,44.56236499999999,40.99737579999999
340600,Aruba,Latin America & Caribbean,High income,949.06,0.25,0.06,35714.0,73.3457880166667,12.0,2.0,30.4993,60.4105,80.2046,75.7078,5.102,76.0,77.9562,55.65557499999999,47.30723874999999,49.22439,41.8407315,44.492824999999996,40.933399
340600,Australia,East Asia & Pacific,High income,83778.84,0.1,0.53,68583.0,83.153201,0.0,1.0,95.7044,32.051,95.074,91.872,53.0612,100.0,93.473,87.07025,87.07025,60.226929999999996,60.226929999999996,72.29681000000001,72.29681000000001
340600,Austria,Europe & Central Asia,High income,104241.44,0.05,0.0,57377.0,78.7659543666667,0.0,1.0,98.8854,22.5966,91.0086,84.6411,0.0,100.0,87.82485,82.60824749999999,82.60824749999999,51.524105,51.524105,52.060515,52.060515
340600,Azerbaijan,Europe & Central Asia,Upper middle income,1653.6,0.17,0.18,7189.0,47.7258799666667,15.0,2.0,38.5751,45.2863,43.677,33.4819,17.3469,70.0,38.57945,42.9000675,36.465057375,41.229105,35.04473925,41.579814999999996,38.2534298
